runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0602T224120Z_7fGOwI,a9a,4,0.001,0.001,1,1,4096,1,1,512,0.9963603783091096,0.5191202809566948
0603T134437Z_DWVSSB,a9a,-1,0.001,0.0001,1,128,4096,1,1,512,0.45228598463017894,0.45228598463017894
0602T224120Z_0yfHs9,a9a,4,0.001,0.2,2048,1,4096,1,1,512,0.33391783457548085,0.3338666508940821
0603T133641Z_vCdgUV,a9a,-1,0.001,0.2,2048,256,4096,1,1,512,2.7677249608349355,1.1451013886529906
0602T204854Z_Rw1qLm,a9a,0,0.001,5.0,2,16,4096,1,1,512,3.0340605594658645,1.1451013886529824
0602T204838Z_eX37Vb,a9a,-1,0.001,0.05,32,1,4096,1,1,512,0.353244262492928,0.34228348546097626
0602T204727Z_QAqvxt,a9a,3,0.001,2.0,64,256,4096,1,1,512,0.4932523032640198,0.4932523032640198
0602T204821Z_BWevzt,a9a,0,0.001,2.0,16,8,4096,1,1,512,0.7538186322717224,0.6765893754155962
0602T204901Z_OmGLAy,a9a,2,0.001,0.5,32,16,4096,1,1,512,0.35958708244884746,0.3575926923684969
0602T204908Z_31YURp,a9a,3,0.001,0.002,1,2,4096,1,1,512,0.777910901522106,0.777910901522106
0602T204845Z_r7FKJJ,a9a,0,0.001,0.1,32,8,4096,1,1,512,0.3459818527087066,0.3459818527087066
0602T205216Z_i1RcXX,a9a,2,0.001,0.02,1024,256,4096,1,1,512,0.37183305735095584,0.37183305735095584
0602T204829Z_UE8nqs,a9a,3,0.001,0.02,512,256,4096,1,1,512,1.0378007614253666,1.0378007614253666
0602T224128Z_T8NHAd,a9a,4,0.001,0.1,8,8,4096,1,1,512,0.3462386084523211,0.3462386084523211
0602T205610Z_sqqrtK,a9a,-1,0.001,0.02,1,2,4096,1,1,512,1.9385473167157912,1.1451013886529824
0602T204801Z_sgGuWp,a9a,3,0.001,2.0,1024,256,4096,1,1,512,0.4945594394398284,0.4945594394398284
0602T213137Z_QI3eLc,a9a,3,0.001,0.05,2048,1,4096,1,1,512,0.3593788995304849,0.3593788995304849
0602T205508Z_92TZ4N,a9a,1,0.001,0.1,1024,1,4096,1,1,512,0.3345639266501309,0.33387438354350946
0602T213841Z_uyCbTK,a9a,3,0.001,1.0,8192,2,4096,1,1,512,0.3336308350986784,0.3336308350986784
0603T121002Z_7HuivO,a9a,1,0.001,0.0002,2,16,4096,1,1,512,0.4658159144025493,0.4658159144025493
0602T205148Z_GO0V6Y,a9a,1,0.001,0.2,1024,32,4096,1,1,512,0.33653052080553103,0.33612078802096096
0602T224158Z_80OZqo,a9a,4,0.001,0.5,128,4,4096,1,1,512,0.33758500261631513,0.33618952513948525
0602T204836Z_eqnEyv,a9a,2,0.001,0.005,128,512,4096,1,1,512,0.4452345114227633,0.4452345114227633
0602T204739Z_x71Tga,a9a,1,0.001,0.1,16,4,4096,1,1,512,0.36416447895765547,0.35235144992728185
0602T204727Z_FL7R6c,a9a,3,0.001,0.005,64,128,4096,1,1,512,1.0858480928414111,1.0858480928414111
0603T131206Z_NhNGnf,a9a,-1,0.001,0.001,4096,4,4096,1,1,512,0.33352515283611983,0.33352515283611983
0602T205230Z_XMuz5a,a9a,0,0.001,0.01,4,4,4096,1,1,512,0.4594347503366622,0.4594347503366622
0602T204926Z_UMHluM,a9a,2,0.001,0.2,256,32,4096,1,1,512,0.33607708510516066,0.3351390477583165
0603T121547Z_UWcVjv,a9a,1,0.001,0.0005,2048,8,4096,1,1,512,0.3910174776143013,0.3910174776143013
0602T204834Z_tpKfvx,a9a,1,0.001,0.02,1024,64,4096,1,1,512,0.3360680513707445,0.3360680513707445
0602T224120Z_4oUcPy,a9a,4,0.001,0.01,1024,1,4096,1,1,512,0.3336369354863817,0.3335491468524268
0602T204725Z_Mcb5HA,a9a,-1,0.001,0.2,64,32,4096,1,1,512,1.3539596159554403,0.8508013239926021
0602T205042Z_eLbHoK,a9a,0,0.001,2.0,1,8,4096,1,1,512,2.2657639204056306,1.1451013886529824
0602T205333Z_r7p5VQ,a9a,1,0.001,0.01,1,32,4096,1,1,512,0.4027298213096026,0.4006729235878812
0603T121730Z_xcsXwR,a9a,1,0.001,0.0001,8,32,4096,1,1,512,0.5982428093336989,0.5716970837233574
0602T204729Z_FK6Vib,a9a,3,0.001,0.2,32,32,4096,1,1,512,0.5270690821564524,0.5270690821564524
0602T204919Z_82Y0qL,a9a,0,0.001,0.02,16,64,4096,1,1,512,0.3985660491415174,0.3985660491415174
0602T204741Z_QsCuJP,a9a,0,0.001,0.01,16,16,4096,1,1,512,0.4620050529406429,0.4620050529406429
