runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0517T031742Z_d71AeQ,epsilon,0,0.0001,1,4,8,4096,1,1,16,0.5416008287487707,0.5416008287487707
0517T174239Z_oIazHX,epsilon,1,0.0001,2,2048,8,4096,1,1,16,0.4716031463845529,0.4715830763128447
0517T104506Z_E6iUg4,epsilon,1,0.0001,2,4,1,4096,1,1,16,1.2527692522599252,0.8911376688840524
0610T001615Z_aG166W,epsilon,3,0.0001,0.1,4,8,4096,1,1,512,0.8680821806203103,0.8680821806203103
0610T111851Z_FRnHQq,epsilon,1,0.0001,50,8192,16,4096,1,1,512,0.6107140563044439,0.6066661751409388
0610T000602Z_VuwgNC,epsilon,3,0.0001,0.1,1024,4,4096,1,1,512,0.8520393362655604,0.8520393362655604
0516T235627Z_YO9sCR,epsilon,0,0.0001,5,256,128,4096,1,1,16,0.4742625136679927,0.4737738572291791
0517T024635Z_lpH8Qf,epsilon,0,0.0001,2,64,16,4096,1,1,16,0.48702918667828,0.48702918667828
0610T013743Z_mAq1n0,epsilon,4,0.0001,10,1,16,4096,1,1,512,0.7923405843642058,0.7444004062411269
0517T010114Z_XCHOTN,epsilon,1,0.0001,0.05,512,16,4096,1,1,16,0.4763589758482057,0.4763589758482057
0610T014026Z_QfSECp,epsilon,4,0.0001,0.01,8,8,4096,1,1,512,0.6979417122625851,0.6979417122625851
0610T012054Z_f0RS4o,epsilon,4,0.0001,0.005,1024,64,4096,1,1,512,0.8827335573095342,0.8827335573095342
0610T000030Z_3NH3nw,epsilon,3,0.0001,50,16,2,4096,1,1,512,0.6295381372709807,0.6219929209489093
0610T000542Z_D8OG9e,epsilon,3,0.0001,0.1,16,8,4096,1,1,512,0.8680513763619722,0.8680513763619722
0609T235633Z_7SkvvH,epsilon,3,0.0001,0.02,8,1,4096,1,1,512,0.8582917378243041,0.8582917378243041
